first_name,last_name,status,arrival_time,session_date,source_file
Ana Adalgiza del Carmen,Abreu Polanco,Presente,10:00 a.m.,30/04/2025,asistencia-de-la-sesion-018-del-miercoles-30-de-abril-de-2025.pdf
Gabriela María,Abreu Santos,Presente,10:00 a.m.,30/04/2025,asistencia-de-la-sesion-018-del-miercoles-30-de-abril-de-2025.pdf
José Luis,Abreu Veloz,Presente,10:00 a.m.,30/04/2025,asistencia-de-la-sesion-018-del-miercoles-30-de-abril-de-2025.pdf
Aldoneris Rafael,Adón Duarte,Presente,10:00 a.m.,30/04/2025,asistencia-de-la-sesion-018-del-miercoles-30-de-abril-de-2025.pdf
Julio,Alcántara Pedro,Presente,10:00 a.m.,30/04/2025,asistencia-de-la-sesion-018-del-miercoles-30-de-abril-de-2025.pdf
Ogando Maribel Altagracia,Almánzar de,Presente,10:00 a.m.,30/04/2025,asistencia-de-la-sesion-018-del-miercoles-30-de-abril-de-2025.pdf
Ignacio,Aracena,Presente,10:00 a.m.,30/04/2025,asistencia-de-la-sesion-018-del-miercoles-30-de-abril-de-2025.pdf
Heriberto,Aracena Montilla,Presente,10:00 a.m.,30/04/2025,asistencia-de-la-sesion-018-del-miercoles-30-de-abril-de-2025.pdf
Onavel Andrés,Aristy Cedeño,Presente,10:00 a.m.,30/04/2025,asistencia-de-la-sesion-018-del-miercoles-30-de-abril-de-2025.pdf
Miguel,Arredondo Quezada,Presente,10:00 a.m.,30/04/2025,asistencia-de-la-sesion-018-del-miercoles-30-de-abril-de-2025.pdf
Alcides,Báez Luis,Presente,10:00 a.m.,30/04/2025,asistencia-de-la-sesion-018-del-miercoles-30-de-abril-de-2025.pdf
José David,Báez Reinoso,Presente,10:00 a.m.,30/04/2025,asistencia-de-la-sesion-018-del-miercoles-30-de-abril-de-2025.pdf
Carmen Ligia,Barceló González,Presente,10:00 a.m.,30/04/2025,asistencia-de-la-sesion-018-del-miercoles-30-de-abril-de-2025.pdf
Wandy Modesto,Batista Gómez,Presente,10:00 a.m.,30/04/2025,asistencia-de-la-sesion-018-del-miercoles-30-de-abril-de-2025.pdf
Eduviges María,Bautista Gomera,Presente,10:00 a.m.,30/04/2025,asistencia-de-la-sesion-018-del-miercoles-30-de-abril-de-2025.pdf
Julio César,Beltré Méndez,Presente,10:00 a.m.,30/04/2025,asistencia-de-la-sesion-018-del-miercoles-30-de-abril-de-2025.pdf
de Dell ́Aquila Kenia Felicia,Bidó Parra,Presente,10:00 a.m.,30/04/2025,asistencia-de-la-sesion-018-del-miercoles-30-de-abril-de-2025.pdf
Miguel Alberto,Bogaert Marra,Presente,10:00 a.m.,30/04/2025,asistencia-de-la-sesion-018-del-miercoles-30-de-abril-de-2025.pdf
́Neal Ycelmary,Brito O,Presente,10:00 a.m.,30/04/2025,asistencia-de-la-sesion-018-del-miercoles-30-de-abril-de-2025.pdf
Antonio,Brito Rodríguez,Presente,10:00 a.m.,30/04/2025,asistencia-de-la-sesion-018-del-miercoles-30-de-abril-de-2025.pdf
Ramón Antonio,Bueno Patiño,Presente,10:00 a.m.,30/04/2025,asistencia-de-la-sesion-018-del-miercoles-30-de-abril-de-2025.pdf
Agustín,Burgos Tejada,Presente,10:00 a.m.,30/04/2025,asistencia-de-la-sesion-018-del-miercoles-30-de-abril-de-2025.pdf
Tayluma Monserrat,Calderón Fortuna,Presente,10:00 a.m.,30/04/2025,asistencia-de-la-sesion-018-del-miercoles-30-de-abril-de-2025.pdf
José Manuel,Caraballo Gómez,Presente,10:00 a.m.,30/04/2025,asistencia-de-la-sesion-018-del-miercoles-30-de-abril-de-2025.pdf
Rafael Augusto,Castillo Casado,Presente,10:00 a.m.,30/04/2025,asistencia-de-la-sesion-018-del-miercoles-30-de-abril-de-2025.pdf
Ramona,Castillo Juana,Presente,10:00 a.m.,30/04/2025,asistencia-de-la-sesion-018-del-miercoles-30-de-abril-de-2025.pdf
Luis Enrique,Castillo Ogando,Presente,10:00 a.m.,30/04/2025,asistencia-de-la-sesion-018-del-miercoles-30-de-abril-de-2025.pdf
Jorge Hugo,Cavoli Balbuena,Presente Incorporado,12:15 p.m.,30/04/2025,asistencia-de-la-sesion-018-del-miercoles-30-de-abril-de-2025.pdf
Eugenio,Cedeño Areché,Presente,10:00 a.m.,30/04/2025,asistencia-de-la-sesion-018-del-miercoles-30-de-abril-de-2025.pdf
Estamy Rafaela,Colón Tatis,Presente,10:00 a.m.,30/04/2025,asistencia-de-la-sesion-018-del-miercoles-30-de-abril-de-2025.pdf
Orbe Jhonatan Rabel,Contreras del,Ausente,,30/04/2025,asistencia-de-la-sesion-018-del-miercoles-30-de-abril-de-2025.pdf
